Date, Exercise, value, Routine
2023-12-21, Bench, 48, Sheiko
2023-12-19, Squat, 58, Sheiko
2023-12-18, Bench, 39, Sheiko
2023-12-17, Squat, 54, Sheiko
2023-12-13, Bench, 36, Sheiko
2023-12-13, Deadlift, 29, Sheiko
